route_id,route_short_name,route_type,route_color
IDFM:C01624,4244,3,82DC73
IDFM:C02313,5310,3,82C8E6
IDFM:C00029,502,3,FBE324
IDFM:C00632,2234,3,640082
IDFM:C00164,5233,3,DC9600
IDFM:C00756,5490,3,9B9842
IDFM:C02317,T9,0,3C91DC
IDFM:C01843,T4,0,DC9600
IDFM:C00676,4613,3,0065AE
IDFM:C00324,1,3,8CE39C
IDFM:C01350,565,3,00643C
IDFM:C01094,57,3,6E6E00
IDFM:C02265,T'bus 1,3,E3051B
IDFM:C01934,6284,3,6E6E00
IDFM:C02148,S1,3,A38C57
IDFM:C02220,Soir,3,640082
IDFM:C00305,1533,3,F49FB3
IDFM:C02290,3426,3,FFBE00
IDFM:C01167,141,3,DC9600
IDFM:C00325,12,3,82C8E6
IDFM:C00527,6183,3,640082
IDFM:C00582,4111,3,0055C8
IDFM:C01639,N141,3,1765AE
IDFM:C02291,TàD 2429,3,FFBE00
IDFM:C02301,GPSO Bus,3,FF9900
IDFM:C02300,469,3,F9BD1B
IDFM:C01640,N142,3,A0006E
IDFM:C01642,N134,3,00643C
IDFM:C01436,3303,3,C5A3CD
IDFM:C01105,69,3,82C8E6
IDFM:C02298,2245,3,FFBE00
IDFM:C00495,4611,3,009A7A
IDFM:C00955,2308,3,D81466
IDFM:C02270,4434,3,CEADD2
IDFM:C01674,1222,3,006DB8
IDFM:C01675,100,3,3C91DC
IDFM:C01504,3261,3,6E6E00
IDFM:C01535,5142,3,6E6E00
IDFM:C01285,321,3,FFBE00
IDFM:C01772,6230,3,00A092
IDFM:C01785,1110,3,006DB8
IDFM:C01787,1132,3,D978FF
IDFM:C00682,4550,3,0055C8
IDFM:C00684,4522,3,D282BE
IDFM:C00113,6217,3,FF5A00
IDFM:C00128,6560,3,FFBE00
IDFM:C00129,6561,3,82C8E6
IDFM:C01988,5348,3,FFBE00
IDFM:C02195,2480,3,FF5A00
IDFM:C02196,2417,3,D282BE
IDFM:C01989,5251,3,FF5A00
IDFM:C01540,5152,3,82C8E6
IDFM:C01541,5150,3,82DC73
IDFM:C01990,5355,3,DC9600
IDFM:C01537,5133,3,82DC73
IDFM:C00138,5212,3,D2D200
IDFM:C00156,R4,3,9E2784
IDFM:C00160,R1,3,E34611
IDFM:C00183,5302,3,0055C8
IDFM:C00184,5303,3,FF5A00
IDFM:C00263,100,3,3C91DC
IDFM:C00264,9501,3,5191CD
IDFM:C00306,34,3,A0006E
IDFM:C00308,6,3,640082
IDFM:C00312,7,3,3C91DC
IDFM:C00316,J,3,A38C57
IDFM:C01505,7707,3,3C91DC
IDFM:C00317,H,3,3C91DC
IDFM:C01668,5197,3,00643C
IDFM:C01994,2351,3,BE4999
IDFM:C01991,5298,3,640082
IDFM:C01992,5317,3,D2D200
IDFM:C00687,4644,3,FFCE00
IDFM:C00688,4556,3,FF82B4
IDFM:C01111,76,3,640082
IDFM:C01115,83,3,FFBE00
IDFM:C01267,292,3,FF82B4
IDFM:C01139,110,3,640082
IDFM:C01653,4663,3,B6D061
IDFM:C01623,4217,3,00A092
IDFM:C01626,4213,3,FFBE00
IDFM:C01627,4214,3,FF82B4
IDFM:C01628,4245,3,6E491E
IDFM:C01788,1133,3,FF3399
IDFM:C01618,4212,3,FF5A00
IDFM:C01615,4221,3,6E6E00
IDFM:C01616,4201,3,D282BE
IDFM:C01416,N16,3,D2D200
IDFM:C01789,1134,3,00FFB3
IDFM:C01790,1135,3,00E84F
IDFM:C01791,1136,3,FFA61A
IDFM:C01833,D,3,0077BA
IDFM:C01473,2,3,8CE39C
IDFM:C01867,20,3,F28E42
IDFM:C01367,V6,3,79BB92
IDFM:C01368,FONT,3,FF82B4
IDFM:C01369,595,3,0055C8
IDFM:C01388,ORLYVAL,0,5EC5ED
IDFM:C01507,3211,3,D2D200
IDFM:C02272,3661,3,DC9600
IDFM:C01836,G,3,B51F1F
IDFM:C01837,J,3,F4C000
IDFM:C01878,30-07,3,A84839
IDFM:C01879,2224,3,FF82B4
IDFM:C02273,3662,3,640082
IDFM:C02274,3663,3,82C8E6
IDFM:C01076,26,3,FF5A00
IDFM:C01156,127,3,FF5A00
IDFM:C01270,297,3,A0006E
IDFM:C00219,1348,3,DC9600
IDFM:C01961,3535,3,0055C8
IDFM:C01962,3541,3,6E491E
IDFM:C01963,3506,3,6E491E
IDFM:C01964,3542,3,82DC73
IDFM:C01015,4343,3,FF5A00
IDFM:C01016,4344,3,FF82B4
IDFM:C01441,3306,3,F78F4B
IDFM:C01017,4346,3,A0006E
IDFM:C01442,3307,3,008C5A
IDFM:C01960,3533,3,D282BE
IDFM:C01003,3453,3,FF5A00
IDFM:C01688,6177,3,FF82B4
IDFM:C02275,3664,3,FF1400
IDFM:C01265,290,3,D282BE
IDFM:C00592,4110,3,6E491E
IDFM:C00221,2127,3,FF82B4
IDFM:C00223,EX 93,3,5191CD
IDFM:C01443,3302,3,CEC92B
IDFM:C00224,Gbus,3,F4A8BC
IDFM:C00228,R1,3,81C391
IDFM:C02318,2470,3,6E6E00
IDFM:C00707,6173,3,FF82B4
IDFM:C00706,6172,3,6E491E
IDFM:C00705,6171,3,00643C
IDFM:C02276,3631,3,640082
IDFM:C00220,1350,3,82C8E6
IDFM:C00254,2111,3,FF82B4
IDFM:C02021,4308,3,3C91DC
IDFM:C01033,5435,3,CEC73D
IDFM:C01034,5433,3,FFCC30
IDFM:C01035,5474,3,F58F53
IDFM:C01036,5432,3,65318F
IDFM:C00670,4518,3,FF5A00
IDFM:C01093,56,3,A0006E
IDFM:C01109,74,3,D2D200
IDFM:C01110,75,3,FFBE00
IDFM:C01112,80,3,FF82B4
IDFM:C02277,3424,3,FFBE00
IDFM:C00260,2163,3,A0006E
IDFM:C01967,3513,3,640082
IDFM:C01970,3517,3,0055C8
IDFM:C01971,3519,3,FF1400
IDFM:C01002,3451,3,00643C
IDFM:C02294,3216,3,A0006E
IDFM:C01415,N11,3,FF5A00
IDFM:C02289,3427,3,A50034
IDFM:C02295,TàD,3,FFBE00
IDFM:C02307,21s,3,00A092
IDFM:C01636,N131,3,FFBE00
IDFM:C01606,5407,3,DFAF47
IDFM:C01605,5406,3,F49FB3
IDFM:C01613,5427,3,008B5B
IDFM:C01638,N140,3,5191CD
IDFM:C01417,N15,3,FFBE00
IDFM:C02293,3660,3,D2D200
IDFM:C01643,N135,3,00643C
IDFM:C01644,N143,3,5191CD
IDFM:C01645,N139,3,00643C
IDFM:C01647,N154,3,8E6539
IDFM:C01103,67,3,FF82B4
IDFM:C01576,604,3,D282BE
IDFM:C00448,30-18,3,F18825
IDFM:C00158,R2N,3,9FC5E8
IDFM:C01973,3537,3,6E491E
IDFM:C00893,3652,3,A50034
IDFM:C01423,1,3,F9DC00
IDFM:C02314,263,3,FF82B4
IDFM:C00891,3611,3,00A092
IDFM:C02023,4328,3,D282BE
IDFM:C02024,4329,3,82C8E6
IDFM:C02025,4330,3,00A092
IDFM:C02026,4331,3,6E491E
IDFM:C02278,3420,3,FF1400
IDFM:C01974,3546,3,FF5A00
IDFM:C01213,192,3,82DC73
IDFM:C01214,194,3,FF5A00
IDFM:C01239,241,3,6E491E
IDFM:C00920,2418,3,640082
IDFM:C00922,2420,3,00643C
IDFM:C00265,9502,3,006DB8
IDFM:C00921,2481,3,0055C8
IDFM:C01419,N13,3,FF82B4
IDFM:C01420,N12,3,DC9600
IDFM:C01421,N122,3,3C91DC
IDFM:C00117,6526,3,0055C8
IDFM:C00118,5484,3,65318F
IDFM:C00157,R5,3,FECF00
IDFM:C00162,R3S,3,A2C119
IDFM:C00181,5230,3,00A092
IDFM:C01979,5426,3,B94E9A
IDFM:C01164,138,3,A0006E
IDFM:C02279,3423,3,00643C
IDFM:C01165,139,3,FF5A00
IDFM:C01166,140,3,FF1400
IDFM:C01799,6160,3,A50034
IDFM:C01980,5221,3,FF82B4
IDFM:C01981,5342,3,D282BE
IDFM:C01982,5231,3,FFBE00
IDFM:C01983,5235,3,DC9600
IDFM:C01986,5241,3,F59EB3
IDFM:C01170,145,3,A0006E
IDFM:C00343,6,3,FF1400
IDFM:C00344,7,3,82DC73
IDFM:C00345,408,3,FFBE00
IDFM:C00332,E,3,9B9BCD
IDFM:C00334,K,3,FF8C94
IDFM:C00020,3115,3,6E491E
IDFM:C01222,207,3,DC9600
IDFM:C02280,3666,3,6E6E00
IDFM:C01987,5245,3,640082
IDFM:C01225,211,3,FF82B4
IDFM:C00340,402,3,FF5A00
IDFM:C00635,2233,3,6E491E
IDFM:C01422,N153,3,ED262A
IDFM:C01426,2,3,0074BA
IDFM:C01707,4575,3,00A092
IDFM:C00014,3110,3,DC9600
IDFM:C00016,3114,3,FF5A00
IDFM:C00031,A,3,00643C
IDFM:C02191,3778,3,00A092
IDFM:C02194,3776,3,FFBE00
IDFM:C02222,6563,3,FF5A00
IDFM:C00142,1131,3,FF1400
IDFM:C01832,C,3,951B81
IDFM:C00112,5314,3,82DC73
IDFM:C00327,6281,3,FFBE00
IDFM:C00328,6282,3,6E491E
IDFM:C00330,A,3,0055C8
IDFM:C00341,3,3,B100BD
IDFM:C00342,412,3,FF0000
IDFM:C00346,409,3,00643C
IDFM:C00350,14,3,0055FA
IDFM:C02266,T'bus 2,3,FECE00
IDFM:C00140,1115,3,A0006E
IDFM:C00445,30-12,3,0075AA
IDFM:C01440,3311,3,87D3DF
IDFM:C01444,3438,3,0055C8
IDFM:C01445,3434,3,FF82B4
IDFM:C00447,30-14,3,3D99D4
IDFM:C00452,30-23,3,A2338A
IDFM:C00463,30-37,3,BD1D1D
IDFM:C00471,95-03A,3,2291D0
IDFM:C00472,95-03B,3,2291D0
IDFM:C00478,95-26,3,007D9A
IDFM:C00486,1521,3,F49FB3
IDFM:C00487,3804,3,02853A
IDFM:C00376,4116,3,FF5A00
IDFM:C00378,4117,3,A50034
IDFM:C00364,4159,3,D2D200
IDFM:C00355,4113,3,FFBE00
IDFM:C00366,4161,3,A0006E
IDFM:C00363,4150,3,D282BE
IDFM:C00374,4151,3,FF82B4
IDFM:C00550,3121,3,00643C
IDFM:C00551,423,3,FF5A00
IDFM:C01995,2375,3,BC85BB
IDFM:C02282,3613,3,82DC73
IDFM:C00620,2251,3,FF82B4
IDFM:C00603,1304,3,FF1400
IDFM:C00579,4158,3,DC9600
IDFM:C00577,4119,3,A50034
IDFM:C00586,4131,3,FF5A00
