from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:492619,IDFM:492621,2,60
IDFM:463079,IDFM:21966,2,12
IDFM:493030,IDFM:493031,2,60
IDFM:monomodalStopPlace:473891,IDFM:monomodalStopPlace:44201,2,189
IDFM:495206,IDFM:489165,2,304
IDFM:18212,IDFM:24386,2,75
IDFM:monomodalStopPlace:473307,IDFM:28457,2,17
IDFM:16909,IDFM:21291,2,60
IDFM:462972,IDFM:491495,2,271
IDFM:19193,IDFM:40103,2,315
IDFM:463046,IDFM:484709,2,341
IDFM:30527,IDFM:462910,2,133
IDFM:38431,IDFM:38762,2,188
IDFM:25438,IDFM:28802,2,1518
IDFM:14077,IDFM:19714,2,273
IDFM:40722,IDFM:19080,2,153
IDFM:29147,IDFM:29148,2,60
IDFM:14562,IDFM:14556,2,331
IDFM:11045,IDFM:13011,2,156
IDFM:411684,IDFM:34721,2,60
IDFM:26373,IDFM:21943,2,171
IDFM:41842,IDFM:41951,2,60
IDFM:37252,IDFM:463107,2,234
IDFM:485332,IDFM:486155,2,284
IDFM:23955,IDFM:474274,2,90
IDFM:4941,IDFM:4942,2,60
IDFM:488271,IDFM:27250,2,218
IDFM:39325,IDFM:21906,2,339
IDFM:23620,IDFM:26776,2,335
IDFM:4171,IDFM:34367,2,96
IDFM:37794,IDFM:427575,2,358
IDFM:30805,IDFM:31007,2,314
IDFM:monomodalStopPlace:473826,IDFM:474147,2,46
IDFM:30628,IDFM:30909,2,197
IDFM:472104,IDFM:492249,2,120
IDFM:22021,IDFM:471934,2,297
IDFM:16551,IDFM:494506,2,281
IDFM:490577,IDFM:38124,2,251
IDFM:5604,IDFM:480207,2,173
IDFM:28076,IDFM:27618,2,285
IDFM:15682,IDFM:15751,2,345
IDFM:34585,IDFM:32318,2,82
IDFM:monomodalStopPlace:43105,IDFM:5248,2,324
IDFM:22143,IDFM:22639,2,81
IDFM:26674,IDFM:39545,2,80
IDFM:20606,IDFM:4271,2,277
IDFM:39887,IDFM:463146,2,218
IDFM:462945,IDFM:28259,2,327
IDFM:14026,IDFM:481823,2,223
IDFM:31722,IDFM:3389,2,175
